name,client_id,enabled,graph_api_permissions,auth_code,device_code,brk_refresh,foci,reply_addresses
Office 365 Management,00b41c95-dab0-4487-9791-b9d2c32c80f2,True,"Contacts.Read,Contacts.ReadWrite,Directory.AccessAsUser.All,Mail.ReadWrite,Mail.ReadWrite.All,People.Read,People.ReadWrite,Tasks.ReadWrite,User.ReadWrite,User.ReadWrite.All",yes,Yes,,True,"https://login.microsoftonline.com/common/oauth2/nativeclient,urn:ietf:wg:oauth:2.0:oob"
Microsoft Azure CLI,04b07795-8ddb-461a-bbee-02f9e1bf7b46,True,"AuditLog.Read.All,Directory.AccessAsUser.All,Group.ReadWrite.All,User.ReadWrite.All",yes,Yes,,True,"http://localhost,https://login.microsoftonline.com/common/oauth2/nativeclient,ms-appx-web://Microsoft.AAD.BrokerPlugin/04b07795-8ddb-461a-bbee-02f9e1bf7b46"
Microsoft Azure PowerShell,1950a258-227b-4e31-a9cf-717495945fc2,True,"AuditLog.Read.All,Directory.AccessAsUser.All",yes,Yes,,True,"http://localhost,https://login.microsoftonline.com/common/oauth2/nativeclient,ms-appx-web://Microsoft.AAD.BrokerPlugin/1950a258-227b-4e31-a9cf-717495945fc2,urn:ietf:wg:oauth:2.0:oob"
Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,True,"AppCatalog.Read.All,Channel.ReadBasic.All,Contacts.ReadWrite.Shared,Files.ReadWrite.All,InformationProtectionPolicy.Read,Mail.ReadWrite,Mail.Send,MailboxSettings.ReadWrite,Notes.ReadWrite.All,People.Read,Place.Read.All,Sites.ReadWrite.All,Tasks.ReadWrite,Team.ReadBasic.All,TeamsAppInstallation.ReadForTeam,TeamsTab.Create,User.ReadBasic.All",yes,Yes,,True,"https://login.microsoftonline.com/common/oauth2/nativeclient,ms-appx-web://Microsoft.AAD.BrokerPlugin/1fec8e78-bce4-4aaf-ab1b-5451cc387264"
Windows Search,26a7ee05-5602-4d76-a7ba-eae8b7b67941,True,"Files.Read.All,Files.ReadWrite,User.Read",yes,Yes,,True,ms-appx-web://Microsoft.AAD.BrokerPlugin/26a7ee05-5602-4d76-a7ba-eae8b7b67941
Outlook Mobile,27922004-5251-4030-b22d-91ecd9a37ea4,True,"Files.ReadWrite.All,Mail.Read,Mail.Read.Shared,People.Read,People.Read.All,Presence.Read.All,Sites.ReadWrite.All,User.Read,User.ReadBasic.All,UserAuthenticationMethod.ReadWrite",yes,Yes,,True,x-msauth-outlook-prod://com.microsoft.Office.Outlook
Microsoft Authenticator App,4813382a-8fa7-425e-ab75-3b753aab3abb,True,"Organization.Read.All,UserAuthenticationMethod.Read,UserAuthenticationMethod.ReadWrite",,Yes,,True,
OneDrive SyncEngine,ab9b8c07-8f02-4f72-87fa-80105867a763,True,"Files.Read,Sites.Read.All,User.Read",yes,Yes,,True,"https://login.microsoftonline.com/common/oauth2/nativeclient,ms-appx-web://Microsoft.AAD.BrokerPlugin/ab9b8c07-8f02-4f72-87fa-80105867a763"
Microsoft Office,d3590ed6-52b3-4102-aeff-aad2292ab01c,True,"AuditLog.Create,AuditLog.Read.All,Calendar.ReadWrite,Calendars.Read.Shared,Calendars.ReadWrite,Contacts.ReadWrite,DataLossPreventionPolicy.Evaluate,Directory.AccessAsUser.All,Directory.Read.All,Files.Read,Files.Read.All,Files.ReadWrite.All,Group.Read.All,Group.ReadWrite.All,InformationProtectionPolicy.Read,Mail.ReadWrite,Mail.Send,Notes.Create,Organization.Read.All,People.Read,People.Read.All,Printer.Read.All,PrinterShare.ReadBasic.All,PrintJob.ReadWriteBasic,SensitiveInfoType.Detect,SensitiveInfoType.Read.All,SensitivityLabel.Evaluate,Tasks.ReadWrite,TeamMember.ReadWrite.All,TeamsTab.ReadWriteForChat,User.Read.All,User.ReadBasic.All,User.ReadWrite,Users.Read",yes,Yes,,True,"ms-appx-web://Microsoft.AAD.BrokerPlugin/d3590ed6-52b3-4102-aeff-aad2292ab01c,urn:ietf:wg:oauth:2.0:oob"
Visual Studio - Legacy,872cd9fa-d31f-45e0-9eab-6e460a02d1f1,True,"Application.ReadWrite.All,Directory.Read.All,User.Read",yes,Yes,,True,"http://localhost,https://login.microsoftonline.com/common/oauth2/nativeclient,ms-appx-web://Microsoft.AAD.BrokerPlugin/872cd9fa-d31f-45e0-9eab-6e460a02d1f1,urn:ietf:wg:oauth:2.0:oob"
