"id","url","time","threatLevel","isNew","relatedDomains__value","relatedDomains__threatLevel","relatedIps__value","relatedIps__port","relatedIps__geo","relatedIps__asn","relatedIps__threatLevel","isExpanded"
"https://hdi7rsqcca.serenebreezes.de/api/generate?lure=OTfJ4uYWuzE","https://hdi7rsqcca.serenebreezes.de/api/generate?lure=OTfJ4uYWuzE","2026-08-14T08:22:24.980Z","2","False","hdi7rsqcca.serenebreezes.de","0","172.67.219.183","443","us","cloudflarenet","3","True"
"","","","","","","","104.21.38.65","443","us","CLOUDFLARENET","3",""
"https://serrurerielongueuil-portal.vercel.app/favicon.ico","https://serrurerielongueuil-portal.vercel.app/favicon.ico","2026-08-14T03:05:18.117Z","0","False","serrurerielongueuil-portal.vercel.app","0","64.29.17.67","443","us","amazon-02","3","True"
"","","","","","","","216.198.79.67","443","us","amazon-02","3",""
"https://glql.livethroughcreation.xyz/api/generate?lure=X6RIFaemeSA","https://glql.livethroughcreation.xyz/api/generate?lure=X6RIFaemeSA","2026-08-14T03:05:16.038Z","2","False","glql.livethroughcreation.xyz","0","104.21.66.97","443","us","cloudflarenet","3","True"
"","","","","","","","172.67.158.113","","","","3",""
"https://comunebresso.sharepoint.com/_layouts/15/images/favicon.ico?rev=43","https://comunebresso.sharepoint.com/_layouts/15/images/favicon.ico?rev=43","2026-08-14T03:05:11.911Z","0","False","comunebresso.sharepoint.com","0","13.107.136.10","443","us","microsoft-corp-msn-as-block","3","True"
"","","","","","","","13.107.138.10","","","","3",""
"http://whsoftwares-portail.vercel.app/","http://whsoftwares-portail.vercel.app/","2026-08-14T03:05:11.497Z","0","False","whsoftwares-portail.vercel.app","0","216.198.79.131","443","us","amazon-02","3","True"
"","","","","","","","64.29.17.131","","","","3",""
"https://whsoftwares-portail.vercel.app/","https://whsoftwares-portail.vercel.app/","2026-08-14T03:05:03.618Z","0","False","whsoftwares-portail.vercel.app","0","216.198.79.131","","","","3","True"
"https://whsoftwares-portail.vercel.app/favicon.ico","https://whsoftwares-portail.vercel.app/favicon.ico","2026-08-14T03:05:03.618Z","0","False","whsoftwares-portail.vercel.app","0","216.198.79.131","","","","3","True"
